Team,Goals,Wins,Games
Aston Villa,610,155,511
Bolton,313,83,266
Everton,852,249,625
Man United,1169,381,624
Fulham,450,113,418
Birmingham,149,37,152
Man City,1233,368,626
West Brom,445,105,418
Middlesbrough,190,46,190
Liverpool,1166,353,626
Portsmouth,202,57,190
Tottenham,1031,311,623
Sunderland,424,98,418
Charlton,75,21,76
West Ham,741,195,587
Blackburn,328,91,266
Arsenal,1140,338,626
Newcastle,637,169,550
Wigan,316,85,304
Chelsea,1160,376,626
Watford,262,65,244
Reading,136,32,114
Sheffield United,91,31,114
Derby,20,1,38
Stoke,398,116,380
Hull,181,41,190
Burnley,280,77,281
Wolves,265,75,246
Blackpool,55,10,38
QPR,115,22,114
Norwich,194,46,207
Swansea,306,82,266
Southampton,453,118,359
Cardiff,66,17,76
Crystal Palace,361,101,321
Leicester,431,117,282
Bournemouth,241,56,190
Brighton,162,40,168
Huddersfield,50,12,76
Leeds,80,21,56
Brentford,21,5,16
