Name,Games,Yellows,Reds,Fouls
M Oliver,14,43,1,309
P Tierney,13,53,1,252
D Coote,10,52,2,233
J Moss,10,21,3,184
A Madley,8,14,2,202
C Pawson,10,36,1,214
M Dean,11,35,0,199
A Marriner,10,42,2,198
M Atkinson,11,26,2,171
A Taylor,13,52,3,274
D England,6,30,1,117
G Scott,6,21,0,134
S Attwell,10,32,0,169
P Bankes,6,34,0,152
R Jones,5,18,0,119
K Friend,5,31,1,103
C Kavanagh,8,35,2,167
J Gillett,4,17,0,85
S Hooper,6,23,0,149
M Salisbury,1,6,0,22
J Brooks,1,5,0,12
T Harrington,1,2,0,25
